"project";"AuthorTime";"CommitterTime";"AuthorTimeUnixEpochMilliSecs";"CommitterTimeUnixEpochMilliSecs";"MinutesSincePreviousCommit";"AuthorNominalLabel";"CommitterNominalLabel";"IsInitialCommit";"IsMergeCommit";"NumberOfParentCommits";"ParentCommitSHA1s";"NumberOfFilesAdded";"NumberOfFilesAddedNet";"NumberOfLinesAddedByAddedFiles";"NumberOfLinesAddedByAddedFilesNet";"NumberOfFilesDeleted";"NumberOfFilesDeletedNet";"NumberOfLinesDeletedByDeletedFiles";"NumberOfLinesDeletedByDeletedFilesNet";"NumberOfFilesModified";"NumberOfFilesModifiedNet";"NumberOfFilesRenamed";"NumberOfFilesRenamedNet";"NumberOfLinesAddedByModifiedFiles";"NumberOfLinesAddedByModifiedFilesNet";"NumberOfLinesDeletedByModifiedFiles";"NumberOfLinesDeletedByModifiedFilesNet";"NumberOfLinesAddedByRenamedFiles";"NumberOfLinesAddedByRenamedFilesNet";"NumberOfLinesDeletedByRenamedFiles";"NumberOfLinesDeletedByRenamedFilesNet";"Density";"AffectedFilesRatioNet";"KW_add";"KW_allow";"KW_bug";"KW_chang";"KW_error";"KW_fail";"KW_fix";"KW_implement";"KW_improv";"KW_issu";"KW_method";"KW_new";"KW_npe";"KW_refactor";"KW_remov";"KW_report";"KW_set";"KW_support";"KW_test";"KW_use";"label";"prob_a";"prob_c";"prob_p"
"project_10";"2021-03-30 21:03:32";"2021-03-30 21:03:32";1617138332000;1617138332000;0.7667;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"db9d021326d118e3eed5a8079ae1d3bb87b419d0";0;0;0;0;0;0;0;0;4;4;0;0;30;30;14;12;0;0;0;0;0.95455;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.994701526523044;0.00362485270253639;0.00167362077441978
"project_10";"2021-03-30 21:03:51";"2021-03-30 21:03:51";1617138351000;1617138351000;0.3167;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"8c28e5abb8368cd3a4367d09b838c6cfcb379d1b";2;1;95;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0.5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.985389513973346;0.00427013140757187;0.0103403546190821
"project_10";"2021-03-30 21:03:41";"2021-03-30 21:03:41";1617138401000;1617138401000;0.8333;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"9c85f0ecd9b2bf2c70fc636f72b75c8e05013f66";4;3;63;52;0;0;0;0;2;2;0;0;13;13;3;3;0;0;0;0;0.86076;0.83333;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.996515106827778;0.000952730393838505;0.00253216277838388
"project_10";"2021-04-01 10:04:07";"2021-04-01 10:04:07";1617273607000;1617273607000;15522.2333;"L3885f280fbe7a83";"L3885f280fbe7a83";0;0;1;"9fa751ff7d330dc12926318ceac80201769c1ae0";8;8;369;332;0;0;0;0;1;1;6;0;292;292;19207;19207;0;0;0;0;0.99814;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.0431202327510513;0.00516228730312981;0.951717479945819
"project_10";"2021-04-04 13:04:50";"2021-04-04 13:04:50";1617542750000;1617542750000;6739.15;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"760650ec341362d86170f273b28fe79bd850ec90";1;1;69;56;0;0;0;0;5;5;0;0;18206;18202;297;297;0;0;0;0;0.99908;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.991833161395112;0.00229385188400526;0.00587298672088303
"project_10";"2021-04-04 14:04:09";"2021-04-04 14:04:09";1617546129000;1617546129000;4542.0333;"L3885f280fbe7a83";"L3885f280fbe7a83";0;0;1;"532db909d95b35c91dc5127df9c10c4b75139135";2;2;62718;62707;0;0;0;0;5;5;0;0;35;34;30;30;0;0;0;0;0.99981;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.93542761966461;0.00925178117191486;0.0553205991634753
"project_10";"2021-04-04 22:04:04";"2021-04-04 22:04:04";1617577084000;1617577084000;572.2333;"L93d46d2b1a10889";"L93d46d2b1a10889";0;0;1;"888b0373636fcb16b1f2e74c2b9cc4cc7a0e1bc3";4;3;1237;819;1;0;1;0;7;7;0;0;357;357;18171;18171;0;0;0;0;0.9788;0.83333;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.54914116027411;0.00672019034790336;0.444138649377987
"project_10";"2021-04-05 12:04:30";"2021-04-05 12:04:30";1617625590000;1617625590000;808.4333;"L93d46d2b1a10889";"L93d46d2b1a10889";0;0;1;"fe75f113f35e67e583afd1134844ca2457a31465";0;0;0;0;0;0;0;0;3;3;0;0;5;5;6;5;0;0;0;0;0.90909;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.0226384414784206;0.68078898561532;0.296572572906259
"project_10";"2021-04-18 13:04:54";"2021-04-18 13:04:54";1618751994000;1618751994000;18773.4;"L3885f280fbe7a83";"L3885f280fbe7a83";0;0;1;"57b9509edabb2c641b8817c8463912054f1c1810";1;1;171;160;0;0;0;0;4;4;0;0;824;804;103;103;0;0;0;0;0.97177;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.861221693560692;0.0474571819264265;0.0913211245128812
"project_10";"2021-04-18 17:04:07";"2021-04-18 17:04:07";1618765207000;1618765207000;220.2167;"Lcb0ea21bc89583f";"Lcb0ea21bc89583f";0;0;1;"e29966829138e7dfbdd4e8ab933aeaa3871ebf8e";9;6;83;68;0;0;0;0;5;5;0;0;18992;18992;301;301;0;0;0;0;0.99923;0.78571;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;"a";0.714874595037015;0.192677736599162;0.0924476683638226
