"AuthorTime","CommitterTime","AuthorTimeUnixEpochSecs","CommitterTimeUnixEpochSecs","MinutesSincePreviousCommit","AuthorNominalLabel","CommitterNominalLabel","IsInitialCommit","IsMergeCommit","NumberOfParentCommits","NumberOfFilesAdded","NumberOfFilesAddedNet","NumberOfLinesAddedByAddedFiles","NumberOfLinesAddedByAddedFilesNet","NumberOfFilesDeleted","NumberOfFilesDeletedNet","NumberOfLinesDeletedByDeletedFiles","NumberOfLinesDeletedByDeletedFilesNet","NumberOfFilesModified","NumberOfFilesModifiedNet","NumberOfFilesRenamed","NumberOfFilesRenamedNet","NumberOfLinesAddedByModifiedFiles","NumberOfLinesAddedByModifiedFilesNet","NumberOfLinesDeletedByModifiedFiles","NumberOfLinesDeletedByModifiedFilesNet","NumberOfLinesAddedByRenamedFiles","NumberOfLinesAddedByRenamedFilesNet","NumberOfLinesDeletedByRenamedFiles","NumberOfLinesDeletedByRenamedFilesNet","Density","AffectedFilesRatioNet","KW_add","KW_allow","KW_bug","KW_chang","KW_error","KW_fail","KW_fix","KW_implement","KW_improv","KW_issu","KW_method","KW_new","KW_npe","KW_refactor","KW_remov","KW_report","KW_set","KW_support","KW_test","KW_use","label","prob_a","prob_c","prob_p","CommitterTimeObj","AuthorTimeObj"
"2020-04-02 18:04:20","2020-04-02 18:04:20",1585852100,1585852100,95.1667,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,30,27,1,1,0,0,0,0,0.90323,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a",0.915945596364241,0.0803318429564177,0.00372256067934084,2020-04-02 18:04:20,2020-04-02 18:04:20
"2020-04-02 18:04:45","2020-04-02 18:04:45",1585852545,1585852545,7.4167,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,3,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.00136230519691682,0.00197337146366503,0.996664323339418,2020-04-02 18:04:45,2020-04-02 18:04:45
"2020-04-02 18:04:46","2020-04-02 18:04:46",1585852786,1585852786,4.0167,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00463059179549432,0.991851269415815,0.00351813878869061,2020-04-02 18:04:46,2020-04-02 18:04:46
"2020-04-02 18:04:55","2020-04-02 18:04:55",1585853035,1585853035,4.15,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.000861787103815306,0.997716343192969,0.00142186970321562,2020-04-02 18:04:55,2020-04-02 18:04:55
"2020-04-02 18:04:08","2020-04-02 18:04:08",1585853168,1585853168,2.2167,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.026834390193301,0.273589804429926,0.699575805376773,2020-04-02 18:04:08,2020-04-02 18:04:08
"2020-04-02 19:04:13","2020-04-02 19:04:13",1585854133,1585854133,16.0833,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.026834390193301,0.273589804429926,0.699575805376773,2020-04-02 19:04:13,2020-04-02 19:04:13
"2020-04-02 19:04:48","2020-04-02 19:04:48",1585854528,1585854528,6.5833,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"p",0.026834390193301,0.273589804429926,0.699575805376773,2020-04-02 19:04:48,2020-04-02 19:04:48
"2020-04-02 19:04:59","2020-04-02 19:04:59",1585854659,1585854659,2.1833,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a",0.98360683152969,0.0131230944288338,0.00327007404147597,2020-04-02 19:04:59,2020-04-02 19:04:59
"2020-04-02 19:04:26","2020-04-02 19:04:26",1585855166,1585855166,8.45,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00463059179549432,0.991851269415815,0.00351813878869061,2020-04-02 19:04:26,2020-04-02 19:04:26
"2020-04-02 19:04:55","2020-04-02 19:04:55",1585855915,1585855915,12.4833,"L26ccad1ad031ebd","L26ccad1ad031ebd",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",0.00257083704533408,0.987129246291447,0.0102999166632185,2020-04-02 19:04:55,2020-04-02 19:04:55
