gold_x;gold_y;brown_x;brown_y;blue_x;blue_y;green_x;green_y;indigo_x;indigo_y;coral_x;coral_y
783.0349366825249;442.16226017187;;;;;760.9971759733635;456.0848244684388;791.7603841666833;419.26220072488286;768.1241797803914;155.51898515235948
782.9510188663721;441.16916639493456;;;;;760.0575878650984;455.73173274786615;791.6931736204788;418.268653520121;767.897889277319;154.54701818201875
782.8675475121904;440.1813561039785;;;;;759.1176525987718;455.3785105673225;791.6245932422726;417.2548566248988;767.6966454509511;153.5671271034765
782.7821760957563;439.17106024219675;;;;;758.1931932493695;455.03110414592504;791.5577840583283;416.26724260137416;767.5187297197708;152.57973056501754
782.6988157346408;438.18456345686207;;;;;757.2582730791733;454.67976660920135;791.490727095902;415.27596576550786;767.3624235022621;151.58524721492665
782.6137597038469;437.1779999076098;;;;;756.3217989744895;454.3278451129777;791.422356942313;414.2652765385392;767.2284547076747;150.6034088924192
782.529721237834;436.1834783453618;;;;;755.375687344071;453.9723018909002;791.3551354722987;413.27156785137186;767.1119978384332;149.61555136534722
782.445497116801;435.18675971873097;;;;;754.4355123743712;453.6189896312296;791.2871551501767;412.26664135043757;767.0096076140701;148.60253599289865
782.3611770197654;434.18890530025647;;;;;753.5040814927366;453.2689633487576;791.2201963181659;411.27681513810467;766.9251345677062;147.6233585255033
782.2768478294479;433.1909432707648;;;;;752.567019836487;452.9168210540889;791.1529236293563;410.28234930352846;766.8514855120792;146.61981312672802
782.1940326427284;432.21089814641164;;;;;751.6309542589058;452.56505307996315;791.0846547252149;409.2731568075251;766.7888630735158;145.61182835138172
782.1084961123726;431.19864830613335;;;;;750.702142047484;452.2160108784549;791.0180732829167;408.2889093996382;766.7366092850077;144.61967923387488
782.0246339568002;430.2062132233659;;;;;749.7593887522817;451.877275637766;790.949912897464;407.2813210929453;766.691867754909;143.62401492333726
781.9410835766139;429.2174677289331;;;;;748.8051493763924;451.5713047581613;790.8829058404857;406.2907819897887;766.6531106705095;142.62520759656962
781.8563966801194;428.21527256046465;;;;;747.8567167064175;451.25872432795586;790.8154010693594;405.2928853731387;766.6188102190988;141.62362943037272
781.7721280227853;427.218026885757;;;;;746.9023704528809;450.93784729805;790.7474732907622;404.28873560257125;766.5874385879667;140.61965260154722
