"project";"AuthorTime";"CommitterTime";"AuthorTimeUnixEpochMilliSecs";"CommitterTimeUnixEpochMilliSecs";"MinutesSincePreviousCommit";"AuthorNominalLabel";"CommitterNominalLabel";"IsInitialCommit";"IsMergeCommit";"NumberOfParentCommits";"ParentCommitSHA1s";"NumberOfFilesAdded";"NumberOfFilesAddedNet";"NumberOfLinesAddedByAddedFiles";"NumberOfLinesAddedByAddedFilesNet";"NumberOfFilesDeleted";"NumberOfFilesDeletedNet";"NumberOfLinesDeletedByDeletedFiles";"NumberOfLinesDeletedByDeletedFilesNet";"NumberOfFilesModified";"NumberOfFilesModifiedNet";"NumberOfFilesRenamed";"NumberOfFilesRenamedNet";"NumberOfLinesAddedByModifiedFiles";"NumberOfLinesAddedByModifiedFilesNet";"NumberOfLinesDeletedByModifiedFiles";"NumberOfLinesDeletedByModifiedFilesNet";"NumberOfLinesAddedByRenamedFiles";"NumberOfLinesAddedByRenamedFilesNet";"NumberOfLinesDeletedByRenamedFiles";"NumberOfLinesDeletedByRenamedFilesNet";"Density";"AffectedFilesRatioNet";"KW_add";"KW_allow";"KW_bug";"KW_chang";"KW_error";"KW_fail";"KW_fix";"KW_implement";"KW_improv";"KW_issu";"KW_method";"KW_new";"KW_npe";"KW_refactor";"KW_remov";"KW_report";"KW_set";"KW_support";"KW_test";"KW_use";"label";"prob_a";"prob_c";"prob_p"
"project_1";"2020-04-03 18:04:12";"2020-04-03 18:04:12";1585936812000;1585936812000;342;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"71d2daa2c36e8aac3cb6cbcc6042a889dada1cb3";0;0;0;0;0;0;0;0;5;5;0;0;34;29;23;16;0;0;0;0;0.78947;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.998238300683399;0.000877830359495241;0.000883868957105662
"project_1";"2020-04-03 21:04:56";"2020-04-03 21:04:56";1585949696000;1585949696000;214.7333;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"10cf0fff69c1d8aafb7b2bbbf1b07f37e006a4bf";1;1;17;13;1;1;4;4;8;8;0;0;134;119;10;10;0;0;0;0;0.88485;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.997212118829548;0.000936988436799732;0.00185089273365173
"project_1";"2020-04-03 22:04:02";"2020-04-03 22:04:02";1585951862000;1585951862000;36.1;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"00466dc7b5153a0e4848e022e71b002de9e4cedc";1;1;28;21;0;0;0;0;5;5;0;0;57;46;2;2;0;0;0;0;0.7931;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.998231361746387;0.000928772502864614;0.000839865750748715
"project_1";"2020-04-05 20:04:24";"2020-04-05 20:04:24";1586120184000;1586120184000;2805.3667;"Lacf3adccfbc4c6f";"Lacf3adccfbc4c6f";0;0;1;"2b790e0080b3a75612faa278a3eee11a19f27f1c";9;4;26210;26210;0;0;0;0;4;4;1;0;62;50;18;16;0;0;0;0;0.99947;0.57143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.929242669262664;0.00224515482788594;0.0685121759094503
"project_1";"2020-04-05 23:04:23";"2020-04-05 23:04:23";1586127743000;1586127743000;125.9833;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"7be18951145653ea5122d102a365975c935f1295";0;0;0;0;0;0;0;0;3;3;0;0;4;4;4;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.00102821861240619;0.000972162307154702;0.997999619080439
"project_1";"2020-04-06 07:04:53";"2020-04-06 07:04:53";1586158793000;1586158793000;643.4833;"L12d5fe22cdb076f";"L12d5fe22cdb076f";0;0;1;"7be18951145653ea5122d102a365975c935f1295";3;3;98;71;0;0;0;0;1;1;0;0;12;9;0;0;0;0;0;0;0.72727;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;"p";0.00703212785995863;0.000929154926944426;0.992038717213097
"project_1";"2020-04-06 13:04:32";"2020-04-06 13:04:32";1586181152000;1586181152000;372.65;"L32219b7760f694d";"L32219b7760f694d";0;1;2;"0ceed843c4ba3df5099468c568243d86f0903823,f0bf4c9292fe698094540b6023234e08e777fef8";3;3;98;71;0;0;0;0;1;1;0;0;12;9;0;0;0;0;0;0;0.72727;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.99424040823878;0.00315706471115642;0.00260252705006368
"project_1";"2020-04-07 16:04:25";"2020-04-07 16:04:25";1586277865000;1586277865000;1611.8833;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"1e4f5c8dacaa64d208e9a8edca1cfed231bd4e72";5;5;193;130;0;0;0;0;7;7;0;0;51;45;21;21;0;0;0;0;0.73962;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.990219807482348;0.00655672497248238;0.00322346754516953
"project_1";"2020-04-08 11:04:00";"2020-04-08 11:04:00";1586346660000;1586346660000;1146.5833;"Lacf3adccfbc4c6f";"Lacf3adccfbc4c6f";0;0;1;"02818aaf05095aac84d7a1d1fd01835a730417de";20;10;8311;7908;10;5;35497;35497;9;9;0;0;128;106;191;159;0;0;0;0;0.98964;0.61538;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.975549192000135;0.00233300899136866;0.0221177990084962
"project_1";"2020-04-08 17:04:41";"2020-04-08 17:04:41";1586365721000;1586365721000;317.6833;"Lacf3adccfbc4c6f";"Lacf3adccfbc4c6f";0;0;1;"8ad6314c047dc4e0fe5829f60cc3ff2444a25f59";1;1;53;40;0;0;0;0;2;2;0;0;46;37;12;9;0;0;0;0;0.77477;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.276616070870549;0.701961852460462;0.0214220766689891
"project_1";"2020-04-09 12:04:15";"2020-04-09 12:04:15";1586433855000;1586433855000;1135.5667;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"1ca81a8a8861d22d732a8cd9954ff8d8aaa60a46";4;4;99;79;0;0;0;0;7;6;0;0;27;18;7;6;0;0;0;0;0.77444;0.90909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"p";0.0837011192692638;0.0179620848679359;0.8983367958628
"project_1";"2020-04-09 19:04:36";"2020-04-09 19:04:36";1586461596000;1586461596000;462.35;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"84997f67f9826ac569f405890c3111d2f505815f";0;0;0;0;0;0;0;0;5;5;0;0;12;12;15;15;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.00371826529941366;0.0110426854284701;0.985239049272116
"project_1";"2020-04-10 18:04:40";"2020-04-10 18:04:40";1586542660000;1586542660000;1351.0667;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"dd89889613ffcbf6d8947671311c29d6803b6afa";5;5;207;144;0;0;0;0;6;6;0;0;76;68;5;5;0;0;0;0;0.75347;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.997713074503268;0.000818344345251166;0.00146858115148123
"project_1";"2020-04-10 19:04:56";"2020-04-10 19:04:56";1586545916000;1586545916000;54.2667;"L12d5fe22cdb076f";"L12d5fe22cdb076f";0;0;1;"bf3b4d3bddfaadae04c063b3f578b24fa6073464";0;0;0;0;0;0;0;0;1;1;0;0;2;2;1;0;0;0;0;0;0.66667;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.0387634834348369;0.952157871916489;0.00907864464867413
"project_1";"2020-04-10 22:04:58";"2020-04-10 22:04:58";1586556058000;1586556058000;169.0333;"Lacf3adccfbc4c6f";"Lacf3adccfbc4c6f";0;0;1;"8f903758bbe510de7f88965c15d0b76e667b202e";2;2;53;39;1;1;53;40;6;6;1;1;144;116;58;57;6;6;6;6;0.825;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.990293056081389;0.00169411519467584;0.00801282872393565
"project_1";"2020-04-12 04:04:44";"2020-04-12 04:04:44";1586666864000;1586666864000;1846.7667;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"3ef0789261672eed5a2a6de5a403ea5b2290af39";0;0;0;0;1;1;3;3;1;1;0;0;3;3;3;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.00129311942367368;0.00176354558534345;0.996943334990983
"project_1";"2020-04-12 08:04:03";"2020-04-12 08:04:03";1586679003000;1586679003000;202.3167;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"99b49b84454a62445b7c3506af7d98bfe2f05a61";1;1;6;5;0;0;0;0;2;2;0;0;41;29;3;3;0;0;0;0;0.74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"c";0.00298374251479864;0.995373294288183;0.00164296319701814
"project_1";"2020-04-12 13:04:17";"2020-04-12 13:04:17";1586698877000;1586698877000;331.2333;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"f892db55c7a481330999ae4646cd986580cf5313";3;3;129;119;3;3;65;55;3;3;1;1;21;18;6;6;54;40;3;3;0.86691;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.97701622790155;0.00324839632675111;0.019735375771699
"project_1";"2020-04-12 14:04:17";"2020-04-12 14:04:17";1586701337000;1586701337000;41;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"bedb9995d7f77ae2da68545809b30b2f395b6f58";0;0;0;0;1;1;9;8;1;1;0;0;4;4;4;4;0;0;0;0;0.94118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.0344837385374161;0.276251243359657;0.689265018102927
"project_1";"2020-04-12 15:04:58";"2020-04-12 15:04:58";1586704858000;1586704858000;58.6833;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"4837b991c112cad0cdfdbccbcddcb69520b218d8";2;2;62;48;0;0;0;0;8;8;2;2;27;26;13;13;7;7;7;7;0.87069;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.992899691542824;0.00377092521734551;0.00332938323983033
"project_1";"2020-04-12 19:04:19";"2020-04-12 19:04:19";1586721379000;1586721379000;2755.35;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"3ef0789261672eed5a2a6de5a403ea5b2290af39";3;3;67;49;0;0;0;0;12;12;0;0;72;68;60;48;0;0;0;0;0.82915;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.996962828742376;0.00151476944112558;0.00152240181649836
"project_1";"2020-04-12 20:04:02";"2020-04-12 20:04:02";1586724482000;1586724482000;51.7167;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"5da3920623e21fe9ca6bfcc263c3990471460f75";0;0;0;0;0;0;0;0;6;6;0;0;25;25;20;18;0;0;0;0;0.95556;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.998380997035425;0.000884294366690629;0.000734708597884422
"project_1";"2020-04-12 21:04:35";"2020-04-12 21:04:35";1586726375000;1586726375000;31.55;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"0256e69850c779f87ec72bbea94b9d7dfb25d446";0;0;0;0;0;0;0;0;3;3;0;0;8;7;6;6;0;0;0;0;0.92857;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.997436846936621;0.00172584540038127;0.00083730766299767
"project_1";"2020-04-12 21:04:29";"2020-04-12 21:04:29";1586727929000;1586727929000;25.9;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"7915010d6b69750b4bd0474de13a408eb60ef063";0;0;0;0;0;0;0;0;2;2;0;0;3;3;3;3;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.997523598781906;0.00164657819159921;0.000829823026495378
"project_1";"2020-04-14 12:04:22";"2020-04-14 12:04:22";1586868382000;1586868382000;2340.8833;"L32219b7760f694d";"L32219b7760f694d";0;1;2;"7b1d754245147641562d48f1377bd4fd4959f77e,5849958bbeb0e2d8eea6eaeed825409ed6e4e029";6;6;197;172;5;5;77;66;12;12;3;3;92;77;29;26;61;47;12;11;0.85256;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.951896176096379;0.0028357442818517;0.0452680796217692
"project_1";"2020-04-14 15:04:59";"2020-04-14 15:04:59";1586876819000;1586876819000;140.6167;"L32219b7760f694d";"L32219b7760f694d";0;0;1;"94bd0a2084e6933217134f139a1647a7d9d9cf8f";0;0;0;0;0;0;0;0;2;2;0;0;9;6;20;12;0;0;0;0;0.62069;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.82591185136009;0.167731478196296;0.00635667044361394
"project_1";"2020-04-14 16:04:22";"2020-04-14 16:04:22";1586882962000;1586882962000;102.3833;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"587e96f8fc9b619c2faffb4f1abb9b085fb38810";0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.026834390193301;0.273589804429926;0.699575805376773
"project_1";"2020-04-14 20:04:20";"2020-04-14 20:04:20";1586897360000;1586897360000;239.9667;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"4d0adf15ce7108e6a75becbe1497abf28964c10c";4;4;120;97;0;0;0;0;4;4;0;0;39;27;1;1;0;0;0;0;0.78125;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.997954866031451;0.000818666367136692;0.00122646760141238
"project_1";"2020-04-15 15:04:08";"2020-04-15 15:04:08";1586964728000;1586964728000;1122.8;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"9508f0faa4c7d01b97bbd550e9a4f97ff3417983";0;0;0;0;0;0;0;0;7;6;0;0;92;86;81;80;0;0;0;0;0.95954;0.85714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.00383273811592389;0.00971676487458654;0.98645049700949
"project_1";"2020-04-15 16:04:13";"2020-04-15 16:04:13";1586967073000;1586967073000;39.0833;"L4346a2c314fc7b6";"L4346a2c314fc7b6";0;0;1;"c5e7ba51a6fe470b9f3f84a2195c1e24d22f589d";0;0;0;0;0;0;0;0;5;5;0;0;25;22;8;8;0;0;0;0;0.90909;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"p";0.0605716823702003;0.429488756012068;0.509939561617732
"project_1";"2020-04-15 16:04:20";"2020-04-15 16:04:20";1586967260000;1586967260000;42.2;"Lacf3adccfbc4c6f";"Lacf3adccfbc4c6f";0;0;1;"c5e7ba51a6fe470b9f3f84a2195c1e24d22f589d";1;1;20;15;1;1;18;13;6;6;0;0;273;224;109;93;0;0;0;0;0.82143;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"a";0.996933493637352;0.00171647369364965;0.00135003266899873
